31 input:5 previoustx:13 outputindex:1 value1:185.1851851851852 output1:2 value2:185.1851851851852 output2:3 value3:185.1851851851852 output3:5
45 input:5 previoustx:17 outputindex:3 value1:148.14814814814812 output1:2 value2:148.14814814814812 output2:3 value3:148.14814814814812 output3:5
47 input:5 previoustx:18 outputindex:2 value1:148.14814814814812 output1:2 value2:148.14814814814812 output2:3 value3:148.14814814814812 output3:5
51 input:5 previoustx:19 outputindex:3 value1:186.66666666666666 output1:2 value2:186.66666666666666 output2:3 value3:186.66666666666666 output3:5
55 input:5 previoustx:21 outputindex:1 value1:186.66666666666666 output1:2 value2:186.66666666666666 output2:3 value3:186.66666666666666 output3:5
62 input:5 previoustx:23 outputindex:2 value1:222.2222222222222 output1:2 value2:222.2222222222222 output2:3 value3:222.2222222222222 output3:5
68 input:5 previoustx:25 outputindex:2 value1:259.2592592592593 output1:2 value2:259.2592592592593 output2:3 value3:259.2592592592593 output3:5
70 input:5 previoustx:26 outputindex:1 value1:259.2592592592593 output1:2 value2:259.2592592592593 output2:3 value3:259.2592592592593 output3:5
75 input:5 previoustx:27 outputindex:3 value1:259.2592592592593 output1:2 value2:259.2592592592593 output2:3 value3:259.2592592592593 output3:5
76 input:5 previoustx:28 outputindex:1 value1:296.29629629629625 output1:2 value2:296.29629629629625 output2:3 value3:296.29629629629625 output3:5
87 input:5 previoustx:31 outputindex:3 value1:61.7283950617284 output1:2 value2:61.7283950617284 output2:3 value3:61.7283950617284 output3:5
91 input:5 previoustx:33 outputindex:1 value1:61.7283950617284 output1:2 value2:61.7283950617284 output2:3 value3:61.7283950617284 output3:5
98 input:5 previoustx:35 outputindex:2 value1:61.7283950617284 output1:2 value2:61.7283950617284 output2:3 value3:61.7283950617284 output3:5
103 input:5 previoustx:37 outputindex:1 value1:61.7283950617284 output1:2 value2:61.7283950617284 output2:3 value3:61.7283950617284 output3:5
116 input:5 previoustx:41 outputindex:2 value1:49.38271604938271 output1:2 value2:49.38271604938271 output2:3 value3:49.38271604938271 output3:5
122 input:5 previoustx:43 outputindex:2 value1:49.38271604938271 output1:2 value2:49.38271604938271 output2:3 value3:49.38271604938271 output3:5
124 input:5 previoustx:44 outputindex:1 value1:49.38271604938271 output1:2 value2:49.38271604938271 output2:3 value3:49.38271604938271 output3:5
129 input:5 previoustx:45 outputindex:3 value1:49.38271604938271 output1:2 value2:49.38271604938271 output2:3 value3:49.38271604938271 output3:5
135 input:5 previoustx:47 outputindex:3 value1:49.38271604938271 output1:2 value2:49.38271604938271 output2:3 value3:49.38271604938271 output3:5
137 input:5 previoustx:48 outputindex:2 value1:49.38271604938271 output1:2 value2:49.38271604938271 output2:3 value3:49.38271604938271 output3:5
